كلام في الصميم,هكذا هم اللقطاء تجدهم فاقدي الشرف ومن ثم يتحدثون عن الاستشراف يبدو ان كأس الخمر اثقل كاهله,no_ref
اسطورة اقتصادية وُلدت اليوم,هيدا أهبل رسمي تفضل شارِكنا ب ضريبة الدم معاشات اولاد الشهدا الجرحى تجهيزات الدفاع عن الوطن. يا اهبل سئلت نفسك قديش الحزب وفَّر عالجيش تضحيات وتكاليف يا أهبل بدك جمرك عالاسلحة بدل ما تروح تجيب اسلحة مناسبة كرمال تدافع عن وطنك!!,negative
ما يميز شعبنا الإسرائيلي #الأشم هو روح المشاركة ليشكل نسيجًا متينًا يجعل من #إسرائيل وطنًا صلبًا لا يهتز، فما بالكم إذا كانت هذه الصفة مضافة إلى سلاح جو لا تهزه عواصف? معلومة صغيرة لمن يسأل عن #سرنا😉 في الصورة :وجهاء من #المجتمع #البدوي في زيارة وجولة لقاعدة #نيفاطيم_الجوية 🇮🇱,صدق الله تراهم جميعا وقلوبهم شتى الله قال جئنا بكم لفيفا غير غير متجانسين فكرا ولا عقيدة والنسيج الغير متجانس مهما فعلت فلن يبقى متوحدا ستنسل اطرافها و ستتقطع وتتبعثر اوصالها وهنا تكون النهاية صدق الله وكذبت يا #افيخاي_ادرعي,negative
هل تعلموا ان حرارة الطقس التي تزودكم بها بعض السيارات هي غير دقيقية ? بما أن مقياس الحرارة له اسس علمية ولا تتوفر في السيارة أهمها : الحرارة تقاس مترين فوق الارض #الطبيعية وبعيداً عن اي جسم معدني او مصدر هبّ كالزفت او اجسام اخرى ودائما الحرارة تقاس في الظل...,breaking boundaries: the science of our planet اسم كتاب و فيلم وثائقي على نتفليكس يتحدث عن خطورة التغيير المناخي. انصح بنشر التوعية عن هذا الموضوع. مع الاحترام والمحبة.,no_ref
قيل الإنسانية ليست دين إنما رتبة يصل لها بعض البشر هذا ما نؤمن به، هذه هي رؤيتنا في المهام اليومية الملقاة على عاتقنا، هذا هو واجبنا كجنود #جيش الإنسان. في الصورة: جنود من وحدة الارتباط والتنسيق مع أحد السكان الفلسطينيين في يهودا والسامرة,",جيشكم جيش الشيطان، واي انسانيه عند جيشكم او عندكم ??!! لقد ارتكبتوا بحق السكان الاصليين لفلسطين المحتله المجازر تلو المجازر،وامهلكم الله ولن يهملكم وعلى الباغي تدور الدوائر، وقريبا باذن الله زوالكم.",negative
أدين الاعتداء الذي تعرض له رامي نعيم بالشوف... ولا اريد الدخول في سجال سياسي,يا غسان الجبان انتو تيار الصرماية,negative
بين حماس والحوثيين عنوان واحد الا وهو الانتماء إلى محور المتاجرة بدم الأبرياء واستهداف أكثر مدن المسلمين قدسية؛الصواريخ الحوثية باتجاه أطهر القبلتين مكة المكرمة والمدينة المنورة والصواريخ الحمساوية تجاه مدينة القدس أولى القبلتين وثالث الحرمين...,حماس و الحوثي وجهان أعمل الارهاب الواحدة,no_ref
#حزب_الكذب #قوات_جعجع #عاشق_الفشل,يا زلمي بتموت اذا بتلاقي اسخف منك,negative
بلا بطاقة تمويلية و بلا مسخرة ،ردوا المال المنهوب و وقفوا مد اليد على الخزنة ...و بلا طوباويات و ارانب...اقل شي تعتذروا من الناس و تردولها مالها...بس يصير النائب يوارب بالوقائع و يساير بالحقوق، و يستدعي تبييض الوج و يغطي ضعفو بقول الامور كما هي #بيصير التمويلية هدية غبية,فليستقيل #نيرون_بعبدا منرتاح وببلش الخلاص,no_ref
كتب معهد #جيت_ستون، ادعاء #حماس بأنها انتصرت في الحرب الأخيرة مع إسرائيل أصبح موضع سخرية واستهزاء من قبل العديد من العرب الذين لا يخشون من وصف الجماعة الإرهابية المدعومة من #إيران بالكذب على الفلسطينيين وبقية العالم.,هذا ممثل حركة حماس في السعودية واحتجزه آل سعود بتهمة الإرهاب لم يحظى هذا الإجرام بإدانة حزب الإصلاح بل قام الحزب بإدانة حماس التي عبرت عن شكرها لانصارالله الذين أبدوا استعدادهم للافراج عن أسرى سعوديين مقابل افراج المملكة عن أسرى حماس,no_ref
متابعينا الكرام ، نتمنى منكم دعم الحساب ، وعمل منشن له في تغريداتكم . سنبقى نقرع جدران الخزان,كل الدعم ولو تكرم,positive
في اعلاميين حقودين لدرجة بتشعر أنهم مزعوجين لأن المغتربين نازلين علبنان فيا أفاعي الغدر انتو لازم تفلّو والمغتربين يرجعو ! #نازل_ع_لبنان,هودي (الإعلاميين) لعم تحكي عنهم هني وعم يحكوا إذا الدولار طلع و البنزين والمواد الغذائية حكيهم بتحسه شماتة شمتانين بالشعب الفقير هودي بلا أخلاق,neutral
#ألإعتدال_في_ورطة,شعب اعوج يمكن مش كفو يمكن فاشل يمكن مراتشي وغيره طز فيكم وبالطائفيه تبعكم,negative
قتلى ايرانيين في قصف صهيوني على سورية,تحية شكر للجيش الوطني الاسرائيلي دمروا النظام السوري المجرم واقضوا عليه,no_ref
#استفتاء هل أنتم مع فكرة استيراد #بنزين ونفط من #إيران ولماذا? ما هي آراؤكم وحلولكم??,اكيد نعم ومن اي مكان لتوقف طوابير الذل,no_ref
زيوت لأعلاف الحيوانات يأكلها اللبنانيّون: ضبط 20 طناً في مستودع في البقاع وتدخلات على أرفع المستويات للفلفة الموضوع وعدم سجن التجار #الله_لا_يوفقكن,كيف هيك! بلا ضمير,no_ref
اليوم تم سرقة عشرات الموبايلات من الصبايا المشاركات في المظاهرة من قبل ميليشيات السلطة وشبيحة حركة فتح ، كل بنت كانت رافعه موبايلها وبتصور تم سرقته منها وبعضهم تم سرقة شنتاتهن ،  وهاد الموضوع هو مقدمة لابتزاز البنات بصورهم الشخصية,هؤلاء هم السفله الخنازير الشراميط يجب ان تقتلو الخنزير االصفوي عاجلا هو واولاده,no_ref
لبنان على كف عفريت,بلاد العرب تغلي مع الصيف لكي تتماشي مع الموسم 🔥🔥,no_ref
وضحِكتي لو سمعها حزين نسى حزنه وانفتن تحسبوني بقول انفجع لا والله ضحكتي تسعد بلد.🙂🌚😹💔,الله يديم ضحكتك الحلوة و يسعد قلبك دوم,positive
بحال ما قدرتوا تحضروا الحلقة...👇,حضرتك بتكبر القلب,positive
واجب علينا ان نجلس سوياً لنؤمن لقمة العيش للمواطن ولنحمي مجتمعنا من اي مخاطر امنية؛ وفي المقابل الناس تعبت من تدوير الزوايا، لذا موقفنا واضح بعدم المشاركة في الحكومة والجلوس مع من اوصل البلد الى هذا الوضع,إذا ما بدكن تشاركوا وبدكن 10 وزراء من أصل 24 كيف لو بدكن تشاركوا?!!,neutral
نبيه بري وابن الحريري يعملان لإبقاء المسيحيين في لبنان مواطنين درجة ثانية. جعجع والجميّل وفرنجية يتصارعون على لقب أبطال الدرجة الثانية. وحده ميشال عون وتياره يخوضان #معركة_وجود,ما عاد تنادونا بالدرجات نادوا بالمواطنين والاخويه وكلنا اخوان واخوات ولعن الله الطاءفيه وااقبلوا بإلغاء الطاءفيه,neutral
طلعنا منعرف نوقف بالصف ونحترم الخرطوم #ازمة_البنزين,بنزين يحرق الحكومه حرق,no_ref
💢 شيعة خامنئي العرب سعداء في انتخاب #جزار_طهران علي خلاف الإيرانيين الذين قاطعوا الانتخابات، يريدون استمرارحمام الدم ?!,اعتقد ان فوز رئيسي هي رسالة ايرانية اننا نريد الاتفاق النووي والا سننشر الفوضى في الاقليم. نريد الاتفاق النووي ولا نريد علاقات مع واشنطن ونكتفي بروسيا والصين,no_ref
لم نستعن يوماً الا بشعبنا من أجل مصلحة وطننا لكن أنتم من المفيد أن تتذكروا كيف استعنتم بالمحتل للهجوم على المنطقة الحرة وعلى الشرعية للوصول الى مآربكم الضيقة التي لا تزال هي هي #القوات_اللبنانية #معركة_وجود,#تفو_عليك بالمختصر المفيد,negative
اليوم صباح خاص للوالدة...والله يحفظ أمهاتكم جميعاً ويعطيهم طول العمر والصحة...🌹,الله يرحم امي وابي الاهل نعمة كبيرة والله يحميلك امك,positive
أحياناً لا نقدّر قيمة اللحظة الا عندما تصبح ذكرى ... #لبنان_الحلو🇱🇧❤️,صباح الورد ...ذكرى الزمن الجميل,positive
يرجى تحت هذه التغريدة كتابة خبر مبهج نكتة اشاعة غير مغرضة صورة جميلة اي شيء بعيدا عن هذا الكابوس الذي اصبح اسلوب حياة وشكرا,أدعوا لكم من الله أن يغير حالكم الى ماتحبون وان يبهج صدركم بما تتمنون وان يرزقنا واياكم جنه النعيم,positive
أحبطت قوات جيش الدفاع والشرطة عملية تهريب أسلحة على الحدود مع الأردن حيث ضبطت القوات عدد من قطع الأسلحة واعتقلت عدد من المشتبه فيهم. لقد رصدت القوات مشتبهًا فيه يقترب الى منطقة الحدود من داخل الأراضي الإسرائيلية وأطلقت النار باتجاهه.,هذا الكاذب ؛ بعمل تبيض طناجر لجيش الاحتلال ولا في تهريب ولا في تسلل ، كلها ادعائات كاذبه وعشان نصدقك لازم بيان من الخارجيه الاردنيه ولكن انت اصغر من تبرهن اقوالك,negative
التيس يلي سميتولي ياه جوجو كبروا قرونه وصار لازم حدا يحطله حد 😃 اليوم انتقل الى رحمته,🥚 🥚مناح خرج الشوي مع🥃,no_ref
هاد مقدم في الامن الوقائي من اللي قمعوا المظاهرات امبارح في رام الله وهاد تعليق مرته : بتحكيلكم الاجهزة الامنية بدها تخبط فوق رقبة كل واحد واللي مش عاجبه ينقلع من البلد سبحان الله كيف الطيور على اشكالها تقع وكيف الاوساخ بلبقوا على بعض,هاظ الحيوان المنوي تبع عباس اللي اسمه ماهر عرعر وين كان لما الجندي سجل سحابه وشخ ع شرف المقاطعة وشرف عباس ?,no_ref
#عاجل #أولي: وردت تقارير عن محاولة تنفيذ عملية دهس وطعن مزدوجة بالقرب من قرية حزما قرب رام الله. تم تحييد المخربة في المكان. يتبع,سيأتي يوم تعلق فيه على مدخل المسجد الاقصى مقطوع الرأس,negative
عاجل: مصدر فلسطيني كشف لي عن حجم التعاون بين حزب الله والفصائل الفلسطينية في العدوان الحمساوي الاخير على اسرائيل. سانشر قريبا تغريدات حول تنسيق الحزب وحماس. ترقبوا...,لا تحاول تلميع كلب الحراسه الايراني وتنسب إليه مشاركته جهاد الشعب الفلسطيني,neutral
فعالية مسروقه 🤓🔥. ... نقطة وأعطيك رقم 😌. 1_ بحب شخصيتك. 2_ بحب تويتاتك. 3_ عاملالك ميوت. 4_ اسطورة التايم. 5_ وجودك حلو. 6_ ما بعرفك,ادري انها 6 بس يله. 🥲,neutral
رن تلفوني اليوم صباحاً، وقلّي اللي طالبني وين عنوان البيت، أنا من قبل الرئيس نجيب ميقاتي. دلّيتو، وصل وفات حامل مغلف فيه 500$ كاش، وقلي تفضل من الرئيس ميقاتي، هودي ال 500$ اللي دفعتن بالتسعينات لما حجزت رقمك الخليوي، بلّش دولتو يردّن متل ما وَعَد...ورنّ تلفوني مرة تانية ووعيت!,اهضم من هيك مافي 😀😀👍👍حلوي شربل.,positive
اذا اعتذر الحريري يكون انهيار تام واخاف على الحالة الامنية،اليس هذا شبيه بموقف اذا تمت اقالة رياض سلامة رح طير الليرة والوضع النقدي،بشرفك ما زهقت من التهديد...ما هي عناصر الحريري الايجابية لكي لا يكون انهيار و نحن من وراء سياستكم المالية في قعر الانهيار ،كيف سيفعلها انشتاين عصرو,يا أيها الغراب الأسود سرقاتكم في الكهرباء والطاقه والاتصالات والسدود صارت على كل لسان والتحويلات البنكيه في 1989 فضحت فضب لسانك على اسيادك بس هيك,negative
يعني دفعنا !! كان بلاه هالتوضيح . 500 الف يورو!!وانو مش نحنا وهاي هبة . ما ع اساس حكومة حسان دياب ما بتصرّف اعمال وما بتخالف دستور . اسّا الشعب ينحرم كرمال قضاة المحكمة يقبضوا يورو? ولك اوقح ما رأت عيني . طب يدفعوهن عائلة الشهيد ، وين بعزقوا هالثروة ? قال هبة قال هبة طوجي,كل ما جابوا سيرة المحكمة بتنهار اعصابكن 00,neutral
مع إنو كذبك وتمثيلك واضحين خاصة من شاشة حرامي الانترنت، لكن انت لازم تكوني عبرة لكل أزعر بيحاول يعتدي على كرامات الناس...التدعيس قليل عليكِ.,أنا ما بحبّ جبران. بس ما بتعرّضله وخاصة قدّام ولاده ومرته. شو هالحيوانة. فرق من النقد بالسياسة والتهجّم والتطاول. ويا ريت هيدي الستّ تروح عند سعد تعبّرله عن امتعاضها من الوضع. بس بتخاف لأن سعد عنده زعران القوة الضارطة.,neutral
يلي بيتكل ع ربّو بعمرو ما رح يندم ولا رح ينكسر خلي إيمانك بالله كبير وحدو يلي قادر يريحك اكتر من اي مخلوق ... #batroun #لبنان_الحلو🇱🇧❤️,يسعد صباحك ريتا 🌷,positive
فجأة وبعد رفع الدعم صار في حليب اطفال متل الشتي و وين ما كان بتلاقي! بكرا بيصير هيك بالبنزين!,بدي حليب nan nestle 3 لبنت ابني ...عم نشربها حليب سائل ...والله حرام عليهن هالمحاكرين الفجرة يعملوا هيك بأطفالنا,no_ref
كل شخص فينا عنده صديق أو قريب بطرابلس يجرب يعمل المستحيل ليمنعه من حمل السلاح لانه اولاد القحبة بغير مناطق مراهنين على الاقتتال و الفوضى بدأ من طرابلس بالاخر رح يموت شباب ببلاش,الله يبارك فيك شريف ويكتر من أمثالك 😘🙆‍♂️,positive
تابعوني الان على روسيا اليوم,تضرب انت و روسيا واليوم,negative
كيف الفساد بدو يعيش يتيم إذا صرلك شي يا كبير ? الله يرد عنك 😃,إجلدهم هو رأس الأفعة لا حل بلبنان بوجوده فهو رب الفساد والسرقات وأساس دمار لبنان وشعبه وهو من وعد بتفشيل العهد وسيدفع الثمن,neutral
يلّي مزعوج من العيش المشترك #فيه_يفل,انت محترم استاذ رودني. وفقك الله.,positive
صباح الخير🌹 أمراء الحرب وميليشيات السلاح والمال سابقاً ما بحياتهم بيبنوا دولة اليوم... يا جماعة الخير اقتنعوا 🇱🇧,معك حق. يسعد مساك 🌹,positive
اليوم #ماكرون حديث الكرة الأرضية بعد تلقيه صفعة على وجهه من مواطن غاضب من هو الزعيم، الحاكم، الرئيس، الوزير، النائب، العامل في المجال العام الذي تود صفعه أمام عدسات الكاميرا واللي ما يشتري يتفرج?,كلن يعني كلن صفعة تاخدهم عا نار جهنم,no_ref
مرة بابا قلي : طالما انتي مش غلطانة بحق حدا خلي يضلّ زعلان لحد ما الزمن يراضيه #تصبحون_على_ما_تتمنون,صح وانتي بخير 🌹,positive
تحية لادائكم 👏,يطول بعمرك حكيم ورح نضل نحكي برقي وخلي الكلاب تنبح قد ما بدها,positive
نهنيء الجمارك على ضبط شحنة الكبتاغون ونطالب الأجهزة الأمنية التعاطي مع ملف التهريب إلى الدول العربية وخاصة الخليجية بأنه أمن قومي وأمن إجتماعي لبناني .,قول هالحكي لحليفك او ما ما,negative
صباح الخير من إحدى أجمل مناطق لبنان...عيون السمك - الضنّية🇱🇧,ألله يقويك وتبرم لبنان كلو,positive
زمن #إيران وايديولوجيتها قد ولى، ودخلنا عصر أسمى من مخططاتها عصر #السلام والمودة، وهنا نستشهد بقول للإمام #علي_بن_أبي_طالب: فاقنع ففي بعض القناعة راحة واليأس مما فات فهو المطلب,من متى بتعرف الإمام علي يا وسخ الإمام علي رجل عظيم و انتم و دولتكم اقل من حشره,negative
الصحافية المقدسية الحرة #جيفارا_البديري الحمدلله على السلامة ❤️,يا جبل ما يهزك ريح الف سلامة عليكي يا رب,positive
جهاز الأمن الاسرائيلي يساعد رئيس سلطة #رام_الله محمود عباس أبو مازن في محاربة بعض المعارضين لعصابته في أنحاء السلطة وهو بالمقابل يساعد #اسرائيل بحربها ضد عناصر مقربة من الاخوان والايرانيين في صفوف الفلسطينيين في انحاء العالم...اكره هذا الشخص فقط لانه اكثر صهيونيا مني,في كل مرة يخسر عباس شعبيته تتدخلون انتم و تهاجمونه لترتفع شعبيته عند شعبه 😉انتم لا تكرهون عباس لان عباس اذا ذهب لن تجدوا مثيله يطيعكم طاعة عمياء.,neutral
ترك الجيش والأجهزة الأمنية دون دعم مالي خطير جداً وسيؤدي إلى شلل المؤسسات ويجب أن يتنبه الإتحاد الأوروبي لهذا الواقع ويسارع إلى العمل فعشرات آلاف اللبنانيين والسوريين والفلسطينيين يحاولون الإبحار وبينهم عسكريين . الوضع أخطر مما نتصور.,معاليك كلنا منعرف الحل من وين ببلش، فليش اللف والدوران وحلول الترقيع?,neutral
الرئيس عون وافق على استصدار موافقة استثنائية لإعطاء مؤسسة كهرباء لبنان سلفة خزينة لشراء المحروقات، وبالتالي فإن أزمة الكهرباء الى انفراج,قصدك إنفراخ، من فرخ. فقّصوا البيضات بشركة الكهربا?,neutral
حركة حماس الارهابية حفرت انفاق من تحت مدرسة تابعة لوكالة الغوث وعرضت الاولاد التلاميذ لخطر.,دكتور اتفق معك أنها إرهابية بدون شك,positive
بما انو قصة الكهربا مطولة مين بيعرف مع مين لازم نحكي بلبنان لنركب نظام طاقة شمسية? شكرا سلفا للردود وانشا الله يجي يوم ما نعود نعوز مافيات الموتورات والمازوت وشركة الكهربا,نظامنا الخاص بالتغذية المنزلية 👇,no_ref
ترقبوا بعد قليل كلمة مباشرة لرئيس التيار الوطني الحر النائب جبران باسيل,قبل ما تحكي تحيّة لياسمين المصري و #تفو_عليك,negative
بالامس أيَّدت القاضية عون فقامت قيامة الحقودين والآن أؤيد القاضي بيطار في انفجار المرفأ وغداً مع سأكون مع اي قاضي شرط يشتغل لمصلحة البلد والعدالة مين ما كان هيدا القاضي وشو ما كانت طايفتو وانتماءه...أيها الحقودين تعلّمو فكرو صحّ !,المشكل إنو ما بيفكرو 🤔 المهم مصلحة البلد وانشالله يوصلو لنتيجة بالتحقيق,no_ref
ليكو ملّا محامي #❤️,مية بالمية 💯وانت استاذ وديع وطني وصلب نفتخر فيكن 🇱🇧🇱🇧🇱🇧💯💯⚖️⚖️⚖️,positive
الي بستلطفني يحط نقطة.,...طب اهو 😂😂,no_ref
عانقني فهناك أوجاع تبقى في الصدور لا يشفيها البوح !! بل تشفيها أضلاعك 🤗 #شوية_حب,ضلوعى قوية جدا لأعانقك وتنقل كل عاطفي وحبي للروح 🤗🙏😘❤️💚💛🌹🌹,positive
الرئيس عون التقى النائب ادكار طرابلسي واطلع منه على إقرار لجنة التربية النيابية لقانون الهوية التربوية والذي ستكون له مفاعيل حاسمة بوقف الفساد في القطاع التربوي ودعم التعليم مالياً في القطاعين الخاص والعام,امتى صحيت . خلينا نايمين وبيكفى تصاريح بدون فعل ...,negative
صار في نقابة للمهربين أو بعد !?,بعد عم يعملولن امتحان التخفي,no_ref
بعد اسبوع بدي اوقف عرّابة لبنت اختو لجوزي والفرحة مش سايعتني لأني انا وحيدة بهالحياة بابا جابني وندم☺️ كل شوي تعي ريتا انتي العرابة روحي ريتا انتي العرابة خديها مشوار انتي العرابة عم فكّر قلهن فكروا بالموضوع منيح لانو بيقولو البنات بيطلعوا لعرابتهن😄😄tarala  #كتير_مبسوطة☺️,عمادة مباركة سلف 🙏 إحساس كتير حلو الله يديمها عليكي هالنعمة بطيبة القلب 🧡👍,positive
احلى صبحية قدام الباب برا بالجبل عنا مع الماما وراديو عم بيخشخش على راسي على غنية احبك وحب كل مين يحبك 🥺 ما بدي حبك ولا بدي تحبني بدي نام🥺☕️ #بيت_الجبل_حمانا #لبنان_الحلو🇱🇧❤️,لبنان وليالى لبنان آه يغار منها الحلو يسعد أوقاتك,positive
حزب الله يرصد تحركات البطرك,يعني تارك موضوع مسيرة الأعلام و موضوع الإنتخابات الإسرائيليه ... الخ من القضايا التي تخص ( بلدك ) و شغال تغريد عن الشؤون العربيه 🤔 ماذا يعني هذا يا عرب 🤦‍♂️,neutral
وكل أحد عند حماتي🥺🥺,الله يكون معك رتروتيي😉🙈,positive
صباح الخير...بلدة بنت جبيل الجنوبية...ارض البطولة🇱🇧,يسعد صباحك. شكراً على صور البلدات اللي بتفرح القلب من الصبح ❤️,positive
المغيب من بلدة غوسطا الكسروانية الرائعة وترتفع ما بين 750م و 1000م عن سطح البحر وتتميز بطبيعتها الخضراء وموقعها الجغرافي الرائع حيث يطل أجزاء من البلدة على خليج جونية وساحل كسروان من جهة الغرب وعلى جبال كسروان من الشرق❤️الصورة ارسلتها الصديقة,أنا عملت ألبوم خاص على غوغل فوتوز عندي بالتلفون ، بحط فيه صوَر الطبيعة اللبنانية الخلابة ، يللي بتحطهن إنت على حسابك بتويتر (هون) 🙂👍,positive
دلعتوهم كتير يا خليجيين,اذا ناقصك دلع بندلعك,neutral
إلغاء الدعم قبل البطاقة التمويلية مغامرة خطرة وغير محسوبة . فمتى يفرج مجلس النواب عن البطاقة?.,دولتو ما رح يفرج عنها,no_ref
يا سادة، نحن نرى في السيد حسن نصرالله #عباس_عصرنا، الذي سيوصل قربة الماء، ولن تقف بوجهه جيوش يزيدية. نحن نعرف من يقود المسيرة، وهو يعرفنا. من يراهن على تفكيك بيئة المقاومة، عليه أن يعي حقيقة وجوهر العلاقة بين قيادتها وبينها.,صحيح لكن سياسة بري الداخلية وتمسكه بسعد الحريري بدون ضوابط يسيء لمصداقية المقاومة في محاربتها لمن نهبوا الشعب اللبناني,no_ref
زرنا بتكليف من رئيس التيار الوطني الحر النائب جبران باسيل الأب بشارة الخوري رئيس جامعة سيدة اللويزة ndu، وتم التطرق إلى الأوضاع السياسية والاقتصادية الصعبة التي يمرّ بها لبنان إضافة إلى الخطوات التي يقوم بها التيار الوطني الحر وتكتل لبنان القوي لتأمين المقومات الضرورية للمواطنين.,ملوك التمثيل والكذب والسرقة,negative
تذكّروا كلامي: شوفوا مع مين عم يتحالفوا خط أحمر للإنتخابات، بتشوفوا إنن بالحقيقة خط أزرق.  #فكروا_فيا,-متل ما انتوا عملتوا تسوية مع الخط الازرق الفاسد،بياع الصرامي الرياضية ما عندو مشكلة اذا كان غلام للخط الازرق -نحنا انتخبناكم حتى تدافعوا عنا،قمتوا اختبأتم وراءنا -قللو لباسيل وعون يسلّمونا التيار ونحنا منعرف نتصرف داخل مجتمعنا:منفرجي كل واحد حجمه من بياع صرامي لصاحب اكبر شركة,negative
نوابنا الكرام واجباتكم تجلسو سوا وتفتشو عن حلّ بدل ما تفجّرو احقادكم على تويتر والشاشات !,أمنية لن تتحقق في هذا الزمن,no_ref
انجيلا بشارة نشرت صورة الشيك اللي بتحصل عليه نفقة شهرية لبناتها من وائل كفوري 6 ملايين بعني 350 دولار لإعالة طفلتين ما اصعب طفل يعيش بفقر وأبوه اغنى الاغنياء,ما اصعب طفل يعيش بفقر وابوه اغنى الاغنياء حضرتك كتبتي هالجملة بكامل قواكي العقلية وانتي مقتنعة فيها? اذا الجواب نعم بيكون في مشكلة كبيرة!! وائل مش ناطر حدا يدافع عنو! كرمو وأفعالو بتدافع عنو هو أب قبل ما يكون فنان وكل اب بينحت بالصخر كرمال ولادو... عيب تكتبي هيك حكي فاضي!,negative
حال السلطة #مش_هيك ??,سلطة خونة وحرامية,neutral
للعماد عون أقول نحن لا نثق الا بك وايماننا بقدرتك لا يهتز والسفهة الشتامون لا يمثلون الا قلة قليلة فيما الأكثرية على يقين انك لم تسفك دماءً ولم تمد يدك على المال العام,انتم القلة القليلة الفاسدة المتمتعة بالسلطة، و نحنا الشعب منقول ارحل يا عون متل ما رحل القذافي...,negative
أول طالب إماراتي يبدأ دراسته في جامعة إسرائيلية. منصور بن شامخ المرزوقي، 19 سنة، يصبح أول طالب إماراتي في معهد هرتسيليا المتعدد المجالات، وأُقيم له حفل استقبال حضره سفير الإمارات محمد الخاجة,أول طالب اماراتي يدرس العمالة والخضوع,no_ref
ستبقى القاع قلعة مقاومة وصمود!,اخبرنا من اوقف التفجيرات? مش انت يلي كنت تقول عن هؤلاء التكفيرين ثوار? وليحكم الاخوان?,neutral
وخلي الزلمي يمنع ادخال البنزين والمازوت 🙂,كبيير يا سيد 🙏 حضرتك العنفوان والامل 🙏,positive
مكتب الإعلام في الرئاسة: ان رئيس الجمهورية الذي يعيش معاناة الشعب، حريص على انشاء سلطة إجرائية من خلال حكومة انقاذية قادرة على تقديم حلول للازمات المعيشية والحياتية التي باتت تشكل خطراً على حياة اللبنانيين وعيشهم,معك ضد منظومة الفساد,positive
